title,subtitle,narrator,runtime,release,language,ratings,price,link
The Inner Work,An Invitation to True Freedom and Lasting Happiness,"Narrated by: Mathew Micheletti, Ashley Cottrell",Length: 5 hrs and 45 mins,Release date: 11-21-22,Language: English,"5 out of 5 stars
6 ratings",$19.95,https://www.audible.com/pd/The-Inner-Work-Audiobook/B0BN2J8P3H?qid=1671624829&sr=1-1&ref=a_search_c3_lProduct_1_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
Think and Grow Rich,no subtitle,Narrated by: Erik Synnestvedt,Length: 9 hrs and 35 mins,Release date: 10-16-07,Language: English,"4.5 out of 5 stars
29,658 ratings",$24.95,https://www.audible.com/pd/Think-and-Grow-Rich-Audiobook/B002V5D950?qid=1671624829&sr=1-2&ref=a_search_c3_lProduct_1_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
Monsters and How to Tame Them,no subtitle,Narrated by: Kevin Hart,Length: 5 hrs and 37 mins,Release date: 09-15-22,Language: English,"5 out of 5 stars
1,102 ratings",$29.95,https://www.audible.com/pd/Monsters-and-How-to-Tame-Them-Audiobook/B09M1T89PY?qid=1671624829&sr=1-3&ref=a_search_c3_lProduct_1_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
Identity Switch,Becoming the Woman Who Gets What She Wants,Narrated by: April Mason,Length: 1 hr and 58 mins,Release date: 12-13-22,Language: English,"5 out of 5 stars
11 ratings",$6.95,https://www.audible.com/pd/Identity-Switch-Audiobook/B0BPTK2FD4?qid=1671624829&sr=1-4&ref=a_search_c3_lProduct_1_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
The Untethered Soul,The Journey Beyond Yourself,Narrated by: Peter Berkrot,Length: 6 hrs and 11 mins,Release date: 12-12-11,Language: English,"4.5 out of 5 stars
27,792 ratings",$24.49,https://www.audible.com/pd/The-Untethered-Soul-Audiobook/B006IE4OY0?qid=1671624829&sr=1-5&ref=a_search_c3_lProduct_1_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
The Four Agreements,no subtitle,Narrated by: Peter Coyote,Length: 2 hrs and 31 mins,Release date: 01-27-05,Language: English,"5 out of 5 stars
52,458 ratings",$14.95,https://www.audible.com/pd/The-Four-Agreements-Audiobook/B002VA3GJO?qid=1671624829&sr=1-6&ref=a_search_c3_lProduct_1_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
The 7 Habits of Highly Effective People,Powerful Lessons in Personal Change,Narrated by: Stephen R. Covey,Length: 13 hrs and 4 mins,Release date: 12-28-03,Language: English,"4.5 out of 5 stars
38,356 ratings",$16.95,https://www.audible.com/pd/The-7-Habits-of-Highly-Effective-People-Audiobook/B002V5HAL4?qid=1671624829&sr=1-7&ref=a_search_c3_lProduct_1_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
"Work, Parent, Thrive","12 Science-Backed Strategies to Ditch Guilt, Manage Overwhelm, and Grow Connection (When Everything Feels Like Too Much)",Narrated by: Jennifer Cole,Length: 9 hrs and 37 mins,Release date: 11-01-22,Language: English,"5 out of 5 stars
3 ratings",$20.99,https://www.audible.com/pd/Work-Parent-Thrive-Audiobook/B0BL42977D?qid=1671624829&sr=1-8&ref=a_search_c3_lProduct_1_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
The Light We Carry,Overcoming in Uncertain Times,Narrated by: Michelle Obama,Length: 9 hrs and 59 mins,Release date: 11-15-22,Language: English,"5 out of 5 stars
2,630 ratings",$35.00,https://www.audible.com/pd/The-Light-We-Carry-Audiobook/B0B5FP7Z48?qid=1671624829&sr=1-9&ref=a_search_c3_lProduct_1_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
The Obstacle Is the Way,The Timeless Art of Turning Trials into Triumph,Narrated by: Ryan Holiday,Length: 6 hrs and 7 mins,Release date: 05-06-14,Language: English,"4.5 out of 5 stars
20,030 ratings",$19.95,https://www.audible.com/pd/The-Obstacle-Is-the-Way-Audiobook/B00K252ET8?qid=1671624829&sr=1-10&ref=a_search_c3_lProduct_1_10&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
A Heart That Works,no subtitle,Narrated by: Rob Delaney,Length: 3 hrs and 25 mins,Release date: 11-29-22,Language: English,"5 out of 5 stars
397 ratings",$17.49,https://www.audible.com/pd/A-Heart-That-Works-Audiobook/B0B6266C47?qid=1671624829&sr=1-11&ref=a_search_c3_lProduct_1_11&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
Men with Adult ADHD,"Improve Concentration, Increase Productivity, and Stop Feeling Like a Failure",Narrated by: Helpful Matthew,Length: 3 hrs and 50 mins,Release date: 04-14-22,Language: English,"4 out of 5 stars
70 ratings",$14.95,https://www.audible.com/pd/Men-with-Adult-ADHD-Audiobook/B09XXJ8PG2?qid=1671624829&sr=1-12&ref=a_search_c3_lProduct_1_12&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
ADHD Raising an Explosive Child,The Stop Yelling Parenting Strategies to Discipline Even the Most Unruly and Scattered Kid,Narrated by: DM Studios,Length: 5 hrs,Release date: 11-16-22,Language: English,"4.5 out of 5 stars
55 ratings",$19.95,https://www.audible.com/pd/ADHD-Raising-an-Explosive-Child-Audiobook/B0BMGYWHNK?qid=1671624829&sr=1-13&ref=a_search_c3_lProduct_1_13&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
I'm Glad My Mom Died,no subtitle,Narrated by: Jennette McCurdy,Length: 6 hrs and 26 mins,Release date: 08-09-22,Language: English,"5 out of 5 stars
79,390 ratings",$13.99,https://www.audible.com/pd/Im-Glad-My-Mom-Died-Audiobook/B09VHWHJS2?qid=1671624829&sr=1-14&ref=a_search_c3_lProduct_1_14&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=TSSCTRBYEFBSX1CWGXSC
